"UniqueID","Probability1"
11862,0.067
11863,0.14
11864,0.19
11865,0.996
11866,0.375
11867,0.014
11868,0.48
11869,0.071
11870,0.056
11871,0.999
11872,0.266
11873,0.315
11874,0.476
11875,0.837
11876,0.05
11877,0.879
11878,0.52
11879,0.031
11880,0.034
11881,0.802
11882,0.037
11883,0
11884,0.183
11885,0.112
11886,0.017
11887,0.408
11888,0.005
11889,0
11890,0.018
11891,0.993
11892,0.162
11893,0.722
11894,0.288
11895,0.03
11896,0.273
11897,0.246
11898,0.033
11899,0.21
11900,0.028
11901,0.616
11902,0.443
11903,0.005
11904,0.14
11905,0.055
11906,0.996
11907,0.018
11908,0.267
11909,0
11910,0.043
11911,0.051
11912,0
11913,1
11914,0.467
11915,0.171
11916,0.01
11917,0.006
11918,0.567
11919,0.015
11920,0.154
11921,0.022
11922,0.952
11923,0.981
11924,0.803
11925,0.976
11926,0.281
11927,0.996
11928,0.027
11929,0.017
11930,1
11931,0.204
11932,0.007
11933,0.816
11934,0.271
11935,0.172
11936,0.001
11937,1
11938,0.371
11939,0.112
11940,0.886
11941,0.825
11942,0.896
11943,0.003
11944,0.912
11945,0.944
11946,0.996
11947,0.993
11948,0.04
11949,0.999
11950,0.871
11951,0.343
11952,0.003
11953,0.981
11954,0.01
11955,0.984
11956,1
11957,0.719
11958,0
11959,0.991
11960,0.922
11961,0.712
11962,0.091
11963,0.035
11964,0.045
11965,0.343
11966,0.972
11967,0.996
11968,0.9
11969,0.947
11970,0.97
11971,0.837
11972,0.947
11973,1
11974,0.981
11975,0.881
11976,0.261
11977,0.869
11978,0.858
11979,1
11980,0.924
11981,0.947
11982,0.964
11983,1
11984,0.924
11985,1
11986,0.245
11987,0.996
11988,0.016
11989,1
11990,0.996
11991,1
11992,0.858
11993,0.847
11994,0.089
11995,0.876
11996,0.871
11997,0.264
11998,0.143
11999,0.023
12000,0.996
12001,0.905
12002,0.999
12003,0.99
12004,0.841
12005,1
12006,0.912
12007,1
12008,0.758
12009,0.402
12010,0.991
12011,1
12012,0.289
12013,0.142
12014,0.815
12015,0.905
12016,0.282
12017,1
12018,1
12019,0.958
12020,0.98
12021,0.98
12022,0.997
12023,0.961
12024,0.109
12025,0.976
12026,1
12027,1
12028,0.451
12029,0.539
12030,1
12031,0.725
12032,0.825
12033,0.816
12034,0.802
12035,0.003
12036,0.028
12037,0.045
12038,0.149
12039,0.837
12040,0.002
12041,0.837
12042,0.701
12043,0.063
12044,0.828
12045,0.405
12046,0.924
12047,0.002
12048,0.999
12049,0.944
12050,0.059
12051,0.996
12052,0.027
12053,0.856
12054,0.015
12055,1
12056,0.947
12057,0.114
12058,0.8
12059,0.824
12060,0.071
12061,1
12062,1
12063,0.71
12064,0.879
12065,0.991
12066,0.816
12067,0.996
12068,1
12069,0.03
12070,0.001
12071,0.409
12072,0.996
12073,0.984
12074,0.291
12075,0.261
12076,0.993
12077,0.095
12078,0.397
12079,0.876
12080,0.565
12081,0.864
12082,1
12083,0.957
12084,0.906
12085,0.032
12086,0.409
12087,0.979
12088,0
12089,0.566
12090,0.968
12091,0.942
12092,0.886
12093,0.573
12094,0.908
12095,0.435
12096,0.206
12097,0.749
12098,0.35
12099,0.86
12100,0.007
12101,0.397
12102,0.981
12103,0.197
12104,0.006
12105,1
12106,0.092
12107,1
12108,0.553
12109,0.27
12110,0.021
12111,0.904
12112,0.396
12113,0.93
12114,0.999
12115,0.904
12116,0.996
12117,0.894
12118,1
12119,0.118
12120,0.389
12121,0.773
12122,0.287
12123,0.993
12124,0.935
12125,0.996
12126,1
12127,0.904
12128,0.02
12129,0.996
12130,0.946
12131,0.245
12132,0.573
12133,0.385
12134,0.992
12135,0
12136,0.944
12137,0.425
12138,0.925
12139,0.981
12140,0.783
12141,0.47
12142,0.091
12143,0.094
12144,0.037
12145,1
