"UniqueID","Probability1"
11862,0.08
11863,0.126
11864,0.182
11865,0.994
11866,0.358
11867,0.018
11868,0.392
11869,0.09
11870,0.048
11871,1
11872,0.238
11873,0.252
11874,0.49
11875,0.874
11876,0
11877,0.838
11878,0.542
11879,0.084
11880,0.026
11881,0.79
11882,0.058
11883,0.004
11884,0.166
11885,0.096
11886,0.018
11887,0.37
11888,0.006
11889,0.008
11890,0.028
11891,0.988
11892,0.154
11893,0.838
11894,0.16
11895,0.044
11896,0.334
11897,0.204
11898,0.024
11899,0.306
11900,0.018
11901,0.63
11902,0.404
11903,0.012
11904,0.142
11905,0.078
11906,0.996
11907,0.014
11908,0.216
11909,0
11910,0.082
11911,0.042
11912,0.006
11913,1
11914,0.444
11915,0.172
11916,0.014
11917,0.004
11918,0.836
11919,0.034
11920,0.1
11921,0.046
11922,0.936
11923,0.978
11924,0.792
11925,1
11926,0.232
11927,0.994
11928,0.026
11929,0.032
11930,1
11931,0.244
11932,0.004
11933,0.768
11934,0.318
11935,0.202
11936,0.008
11937,1
11938,0.376
11939,0.108
11940,0.838
11941,0.81
11942,0.856
11943,0.002
11944,0.876
11945,0.946
11946,0.994
11947,0.988
11948,0.006
11949,1
11950,0.864
11951,0.364
11952,0
11953,0.978
11954,0
11955,0.976
11956,1
11957,0.66
11958,0
11959,0.996
11960,1
11961,0.756
11962,0.076
11963,0.022
11964,0.05
11965,0.364
11966,0.958
11967,0.994
11968,0.848
11969,0.94
11970,0.97
11971,0.874
11972,0.932
11973,1
11974,0.978
11975,0.828
11976,0.268
11977,0.854
11978,0.828
11979,1
11980,0.932
11981,0.94
11982,0.902
11983,1
11984,0.922
11985,1
11986,0.178
11987,0.994
11988,0.004
11989,1
11990,0.994
11991,1
11992,0.876
11993,0.99
11994,0.082
11995,0.84
11996,0.89
11997,0.336
11998,0.108
11999,0.046
12000,0.994
12001,0.796
12002,1
12003,0.976
12004,0.97
12005,1
12006,0.852
12007,0.996
12008,0.75
12009,0.464
12010,0.968
12011,1
12012,0.34
12013,0.098
12014,0.79
12015,0.796
12016,0.234
12017,1
12018,1
12019,0.958
12020,0.974
12021,0.974
12022,0.996
12023,0.958
12024,0.248
12025,0.98
12026,1
12027,1
12028,0.444
12029,0.57
12030,1
12031,0.972
12032,0.81
12033,0.768
12034,0.79
12035,0.006
12036,0.004
12037,0.066
12038,0.238
12039,0.874
12040,0.002
12041,0.874
12042,0.678
12043,0.062
12044,0.808
12045,0.378
12046,0.922
12047,0.002
12048,1
12049,0.832
12050,0.014
12051,0.996
12052,0.026
12053,0.822
12054,0.034
12055,1
12056,0.94
12057,0.094
12058,0.688
12059,0.598
12060,0.058
12061,1
12062,1
12063,0.772
12064,0.838
12065,0.988
12066,0.772
12067,0.994
12068,1
12069,0.044
12070,0.01
12071,0.062
12072,0.994
12073,0.976
12074,0.296
12075,0.268
12076,0.994
12077,0.14
12078,0.334
12079,0.84
12080,0.466
12081,0.906
12082,0.996
12083,0.998
12084,0.932
12085,0.016
12086,0.062
12087,0.966
12088,0.004
12089,0.836
12090,0.962
12091,0.976
12092,0.838
12093,0.638
12094,0.926
12095,0.492
12096,0.186
12097,0.772
12098,0.44
12099,0.828
12100,0.008
12101,0.334
12102,0.978
12103,0.208
12104,0.004
12105,1
12106,0.086
12107,1
12108,0.562
12109,0.268
12110,0.018
12111,0.866
12112,0.362
12113,0.922
12114,1
12115,0.866
12116,0.994
12117,0.844
12118,1
12119,0.12
12120,0.244
12121,1
12122,0.318
12123,0.996
12124,0.934
12125,0.994
12126,0.996
12127,0.866
12128,0.022
12129,0.996
12130,0.94
12131,0.37
12132,0.672
12133,0.346
12134,0.982
12135,0
12136,0.94
12137,0.348
12138,0.78
12139,0.978
12140,0.752
12141,0.358
12142,0.056
12143,0.07
12144,0.022
12145,0.996
12146,1
12147,0.86
12148,0.164
12149,0.952
12150,0.04
12151,0.926
12152,0.978
12153,0.078
12154,0.288
12155,0.87
12156,0.944
12157,0.682
12158,0.186
12159,0.066
12160,0.996
12161,0.994
12162,0.84
12163,0.34
12164,0.36
12165,0.12
12166,1
12167,0.708
12168,0.996
12169,0.896
12170,0.14
12171,0.02
12172,0.978
12173,0.888
12174,0.852
12175,0.032
12176,0.566
12177,0.982
12178,0.022
12179,0.022
12180,0.874
12181,0.798
12182,0.866
12183,0.836
12184,0.36
12185,0.574
12186,0.672
12187,0.57
12188,0.874
12189,0.836
12190,1
12191,0.808
12192,0.464
12193,0.038
12194,0.246
12195,0.18
12196,0.96
12197,0.102
12198,0.356
12199,0.84
12200,0.928
12201,1
12202,0.062
12203,0.79
12204,0.602
12205,1
12206,0.848
12207,0.314
12208,0.78
12209,0.37
12210,0.078
12211,0.048
12212,0.416
12213,0.978
12214,0.874
12215,0.946
12216,0.004
12217,0.508
12218,0.026
